name,category,domain
Engelhart Commodities,trading_house,
Mercuria,trading_house,
Hartree Partners,trading_house,
BB Energy,trading_house,
Wilmar International,softs,
Baird and Co,metals,
COFCO International,softs,
Louis Dreyfus Company,softs,
Concord Energy,trading_house,
IXM,trading_house,
Cargill,softs,
Gerald Group,trading_house,geraldgroup.com
Gleadell,softs,
Auramet,metals,auramet.com
Ameropa,softs,ameropa.com
Touton,softs,touton.com
Bunge,softs,bunge.com
Sucafina,softs,sucafina.com
Trammo,trading_house,trammo.com
Olam Agri,softs,olamagri.com
Varo Energy,refining,
Greenergy,refining,
Traxys,trading_house,traxys.com
Concord Resources,metals,concordresources.com
SOCAR Trading,major,socartrading.com
Prax Group,refining,praxgroup.com
Glencore,trading_house,glencore.com
ofi,softs,ofi.com
Openfield,softs,openfield.co.uk
Czarnikow,softs,czarnikow.com
EDF Trading,power_gas,
Uniper,power_gas,
Repsol,major,repsol.com
Volcafe,softs,volcafe.com
ED and F Man,softs,edfman.com
Aramco Trading,major,aramcotrading.com
Freepoint Commodities,trading_house,freepoint.com
Sucden,softs,sucden.com
OMV,major,omv.com
Fortum,power_gas,
Orsted,power_gas,
Cockett Marine Oil,bunkers,cockettgroup.com
Frontier Agriculture,softs,frontierag.co.uk
Phillips 66,refining,phillips66.com
ADNOC,major,adnoc.ae
Chevron,refining,chevron.com
Monjasa,bunkers,monjasa.com
InCommodities,power_gas,incommodities.com
Neste,refining,neste.com
Petrobras,major,petrobras.com.br
Vattenfall,power_gas,vattenfall.com
Orlen,major,orlen.pl
Zenobe,flex_optimiser,
Statkraft,power_gas,statkraft.com
MET Group,power_gas,met.com
Limejump,flex_optimiser,limejump.com
Alvean,softs,alvean.com
QatarEnergy,major,qatarenergy.qa
Bunker Holding,bunkers,bunker-holding.com
Centrica Energy,power_gas,centrica.com
Entrix,flex_optimiser,
Statera Energy,flex_optimiser,
KPI OceanConnect,bunkers,kpioceanconnect.com
Axpo,power_gas,axpo.com
Apatura,flex_optimiser,
Yu Energy,flex_optimiser,
Flexitricity,flex_optimiser,flexitricity.com
SEFE Marketing and Trading,power_gas,sefe-mt.com
JERA Global Markets,lng,
Pulse Clean Energy,flex_optimiser,pulsecleanenergy.com
Kraken Technologies,flex_optimiser,kraken.tech
Axle Energy,flex_optimiser,axle.energy
Engie Global Markets,power_gas,engie.com
Scoular,softs,scoular.com
Alpiq,power_gas,alpiq.com
Citadel Securities,prop_mm,
Venture Global,lng,venturegloballng.com
Habitat Energy,flex_optimiser,habitat.energy
Cheniere Marketing,lng,cheniere.com
Gresham House,flex_optimiser,greshamhouse.com
SSE,power_gas,sse.com
Susquehanna,prop_mm,sig.com
SmartestEnergy,flex_optimiser,smartestenergy.com
Flow Traders,prop_mm,flowtraders.com
OSTC,prop_mm,
Da Vinci Derivatives,prop_mm,
Liquid Capital,prop_mm,
Minerva Bunkering,bunkers,minervabunkering.com
DRW,prop_mm,drw.com
Jump Trading,prop_mm,jumptrading.com
Wolverine Trading,prop_mm,
VPI,power_gas,vpi-i.com
Eku Energy,flex_optimiser,ekuenergy.com
Schneider Trading,prop_mm,
Futex,prop_mm,
Harmony Energy,flex_optimiser,harmonyenergy.co.uk
Modo Energy,flex_optimiser,modoenergy.com
Northlander Commodity Advisors,fund,
Optiver,prop_mm,optiver.com
Squarepoint Capital,prop_mm,squarepoint-capital.com
Man Group,fund,
Andurand Capital,fund,andurandcapital.com
Jane Street,prop_mm,janestreet.com
CTC Trading,prop_mm,chicagotrading.com
Tower Research Capital,prop_mm,tower-research.com
Corona Energy,flex_optimiser,coronaenergy.co.uk
Schonfeld,fund,
PEAK6,prop_mm,peak6.com
Florin Court Capital,fund,florincourt.com
Eisler Capital,fund,
Conrad Energy,flex_optimiser,conradenergy.co.uk
Trium Capital,fund,
Hoegh Evi,lng,hoeghevi.com
Amplify Trading,prop_mm,amplifyme.com
Westbeck Capital,fund,westbeckcapital.com
Danske Commodities,power_gas,danskecommodities.com
Moore Capital,fund,
Akuna Capital,prop_mm,akunacapital.com
Woodside Energy,lng,woodside.com
BlueCrest Capital,fund,bluecrestcapital.com
G-Research,prop_mm,gresearch.com
Winton,fund,winton.com
Point72,fund,point72.com
Selwood Asset Management,fund,selwoodam.com
Svelland Capital,fund,svelland.com
Qube Research and Technologies,prop_mm,qube-rt.com
Arini,fund,arini.com
Cheyne Capital,fund,cheynecapital.com
Sona Asset Management,fund,sonaam.com
Aspect Capital,fund,aspectcapital.com
Rokos Capital,fund,rokoscapital.com
Platts Analytics,data_vendor,
LMR Partners,fund,lmrpartners.com
Kite Lake Capital,fund,kitelake.com
Millennium,fund,mlp.com
IMC Trading,prop_mm,imc.com
Balyasny Asset Management,fund,bamfunds.com
Marshall Wace,fund,mwam.com
Verition,fund,verition.com
Axia Futures,prop_mm,axiafutures.com
Bloomberg,data_vendor,
Capula Investment Management,fund,capulaglobal.com
FGE,data_vendor,fgenergy.com
TCI Fund Management,fund,tcifund.com
Autonomy Capital,fund,autonomycapital.com
Montel,data_vendor,montelnews.com
Ursa Space Systems,data_vendor,ursaspace.com
Brevan Howard,fund,brevanhoward.com
MarineTraffic,data_vendor,marinetraffic.com
